iter	Passed	Remaining
687	43950	19930
688	44009	19864
689	44085	19806
690	44149	19742
691	44217	19680
692	44267	19610
693	44327	19544
694	44394	19482
695	44464	19421
696	44522	19354
697	44587	19291
698	44665	19233
699	44742	19175
700	44817	19116
701	44893	19057
702	44954	18992
703	45013	18926
704	45065	18857
705	45150	18802
706	45209	18736
707	45290	18679
708	45362	18618
709	45435	18558
710	45504	18496
711	45556	18427
712	45613	18360
713	45665	18291
714	45718	18223
715	45796	18165
716	45867	18103
717	45932	18040
718	46002	17978
719	46055	17910
720	46136	17853
721	46204	17790
722	46268	17726
723	46350	17669
724	46421	17608
725	46488	17545
726	46560	17484
727	46619	17418
728	46678	17352
729	46737	17286
730	46809	17225
731	46870	17160
732	46916	17089
733	46994	17030
734	47080	16974
735	47160	16916
736	47229	16853
737	47299	16791
738	47371	16730
739	47424	16662
740	47475	16594
741	47541	16530
742	47596	16463
743	47662	16400
744	47721	16334
745	47791	16272
746	47850	16206
747	47904	16138
748	47971	16075
749	48030	16010
750	48088	15943
751	48162	15883
752	48222	15817
753	48288	15754
754	48347	15689
755	48409	15624
756	48470	15559
757	48532	15494
758	48581	15425
759	48655	15364
760	48709	15297
761	48769	15232
762	48823	15165
763	48887	15101
764	48947	15036
765	49021	14975
766	49102	14916
767	49171	14853
768	49223	14786
769	49290	14723
770	49360	14661
771	49423	14596
772	49484	14531
773	49550	14468
774	49612	14403
775	49673	14338
776	49736	14274
777	49816	14214
778	49870	14148
779	49933	14083
780	50005	14022
781	50074	13959
782	50131	13893
783	50190	13827
784	50262	13766
785	50320	13700
786	50382	13635
787	50434	13568
788	50514	13508
789	50578	13444
790	50640	13380
791	50697	13314
792	50755	13248
793	50813	13183
794	50875	13118
795	50937	13054
796	50996	12989
797	51075	12928
798	51159	12869
799	51217	12804
800	51291	12742
801	51370	12682
802	51444	12620
803	51506	12556
804	51572	12492
805	51626	12426
806	51695	12363
807	51754	12298
808	51817	12233
809	51885	12170
810	51943	12105
811	52028	12045
812	52105	11985
813	52157	11917
814	52214	11852
815	52290	11790
816	52348	11725
817	52419	11662
818	52493	11601
819	52549	11535
820	52621	11472
821	52678	11407
822	52740	11342
823	52810	11279
824	52860	11212
825	52915	11146
826	52994	11085
827	53072	11024
828	53147	10962
829	53219	10900
830	53276	10834
831	53328	10768
832	53392	10704
833	53456	10639
834	53520	10575
835	53586	10512
836	53637	10445
837	53717	10384
838	53783	10320
839	53865	10260
840	53920	10194
841	53971	10127
842	54021	10060
843	54080	9995
844	54142	9931
845	54225	9870
846	54307	9809
847	54371	9745
848	54422	9679
849	54473	9613
850	54535	9548
851	54601	9484
852	54653	9418
853	54718	9354
854	54770	9288
855	54838	9225
856	54904	9161
857	54971	9097
858	55046	9035
859	55116	8972
860	55171	8906
861	55238	8843
862	55299	8778
863	55356	8713
864	55412	8648
865	55485	8585
866	55562	8523
867	55631	8460
868	55680	8393
869	55737	8328
870	55798	8264
871	55846	8197
872	55905	8132
873	55984	8070
874	56051	8007
875	56108	7942
876	56163	7876
877	56230	7813
878	56288	7748
879	56347	7683
880	56404	7618
881	56474	7555
882	56542	7492
883	56600	7427
884	56656	7362
885	56733	7299
886	56780	7233
887	56834	7168
888	56889	7103
889	56950	7038
890	57018	6975
891	57084	6911
892	57137	6846
893	57204	6782
894	57265	6718
895	57326	6654
896	57377	6588
897	57430	6523
898	57492	6459
899	57553	6394
900	57628	6332
901	57693	6268
902	57779	6206
903	57845	6142
904	57911	6079
905	57975	6015
906	58035	5950
907	58099	5886
908	58152	5821
909	58218	5757
910	58281	5693
911	58345	5629
912	58400	5565
913	58461	5500
914	58522	5436
915	58580	5371
916	58653	5308
917	58708	5244
918	58789	5181
919	58850	5117
920	58910	5053
921	58998	4991
922	59057	4926
923	59114	4862
924	59172	4797
925	59220	4732
926	59271	4667
927	59334	4603
928	59389	4538
929	59471	4476
930	59553	4413
931	59619	4349
932	59700	4287
933	59779	4224
934	59844	4160
935	59906	4096
936	59966	4031
937	60033	3968
938	60105	3904
939	60163	3840
940	60252	3777
941	60331	3714
942	60392	3650
943	60446	3585
944	60504	3521
945	60568	3457
946	60641	3393
947	60728	3331
948	60796	3267
949	60854	3202
950	60906	3138
951	60964	3073
952	61018	3009
953	61063	2944
954	61135	2880
955	61195	2816
956	61248	2752
957	61304	2687
958	61372	2623
959	61437	2559
960	61490	2495
961	61542	2430
962	61598	2366
963	61659	2302
964	61705	2238
965	61757	2173
966	61813	2109
967	61860	2044
968	61910	1980
969	61963	1916
970	62022	1852
971	62104	1789
972	62174	1725
973	62247	1661
974	62319	1597
975	62376	1533
976	62451	1470
977	62526	1406
978	62585	1342
979	62657	1278
980	62722	1214
981	62770	1150
982	62830	1086
983	62909	1022
984	62986	959
985	63048	895
986	63100	831
987	63168	767
988	63250	703
989	63298	639
990	63368	575
991	63434	511
992	63482	447
993	63547	383
994	63612	319
995	63665	255
996	63722	191
997	63784	127
998	63863	63
999	63925	0
